case_type,cause_type,cause,count,percentage
model_right_llm_distrusts,primary,meta_performance_overweighting,2,33.33333333333333
model_right_llm_distrusts,primary,explanation_framing,4,66.66666666666666
model_right_llm_distrusts,secondary,explanation_framing,2,33.33333333333333
model_right_llm_distrusts,secondary,content_model_confusion,5,83.33333333333334
model_right_llm_distrusts,secondary,meta_performance_overweighting,4,66.66666666666666
model_right_llm_distrusts,secondary,feature_interpretation_bias,2,33.33333333333333
model_wrong_llm_trusts,primary,explanation_framing,19,76.0
model_wrong_llm_trusts,primary,content_model_confusion,1,4.0
model_wrong_llm_trusts,primary,meta_performance_overweighting,4,16.0
model_wrong_llm_trusts,primary,overgeneralization_from_dataset_statistics,1,4.0
model_wrong_llm_trusts,secondary,content_model_confusion,11,44.0
model_wrong_llm_trusts,secondary,meta_performance_overweighting,15,60.0
model_wrong_llm_trusts,secondary,feature_interpretation_bias,19,76.0
model_wrong_llm_trusts,secondary,overgeneralization_from_dataset_statistics,16,64.0
model_wrong_llm_trusts,secondary,explanation_framing,5,20.0
model_wrong_llm_trusts,secondary,performance_baseline,6,24.0
