case_type,cause_type,cause,count,percentage
model_wrong_llm_trusts,primary,explanation_framing,19,65.51724137931035
model_wrong_llm_trusts,primary,overgeneralization_from_dataset_statistics,1,3.4482758620689653
model_wrong_llm_trusts,primary,feature_interpretation_bias,1,3.4482758620689653
model_wrong_llm_trusts,primary,content_model_confusion,4,13.793103448275861
model_wrong_llm_trusts,primary,performance_baseline,3,10.344827586206897
model_wrong_llm_trusts,primary,meta_performance_overweighting,1,3.4482758620689653
model_wrong_llm_trusts,secondary,feature_interpretation_bias,20,68.96551724137932
model_wrong_llm_trusts,secondary,overgeneralization_from_dataset_statistics,23,79.3103448275862
model_wrong_llm_trusts,secondary,performance_baseline,19,65.51724137931035
model_wrong_llm_trusts,secondary,explanation_framing,10,34.48275862068966
model_wrong_llm_trusts,secondary,meta_performance_overweighting,4,13.793103448275861
model_wrong_llm_trusts,secondary,content_model_confusion,7,24.137931034482758
model_wrong_llm_trusts,secondary,label_trust_mismatch,1,3.4482758620689653
model_right_llm_distrusts,primary,meta_performance_overweighting,5,62.5
model_right_llm_distrusts,primary,overgeneralization_from_dataset_statistics,2,25.0
model_right_llm_distrusts,primary,feature_interpretation_bias,1,12.5
model_right_llm_distrusts,secondary,feature_interpretation_bias,3,37.5
model_right_llm_distrusts,secondary,meta_performance_overweighting,3,37.5
model_right_llm_distrusts,secondary,explanation_framing,7,87.5
model_right_llm_distrusts,secondary,content_model_confusion,4,50.0
model_right_llm_distrusts,secondary,overgeneralization_from_dataset_statistics,1,12.5
