case_type,cause_type,cause,count,percentage
model_wrong_llm_trusts,primary,explanation_framing,25,86.20689655172413
model_wrong_llm_trusts,primary,content_model_confusion,3,10.344827586206897
model_wrong_llm_trusts,primary,feature_interpretation_bias,1,3.4482758620689653
model_wrong_llm_trusts,secondary,overgeneralization_from_dataset_statistics,15,51.724137931034484
model_wrong_llm_trusts,secondary,content_model_confusion,17,58.620689655172406
model_wrong_llm_trusts,secondary,feature_interpretation_bias,19,65.51724137931035
model_wrong_llm_trusts,secondary,meta_performance_overweighting,18,62.06896551724138
model_wrong_llm_trusts,secondary,performance_baseline,11,37.93103448275862
model_wrong_llm_trusts,secondary,explanation_framing,4,13.793103448275861
model_right_llm_distrusts,primary,meta_performance_overweighting,1,14.285714285714285
model_right_llm_distrusts,primary,explanation_framing,2,28.57142857142857
model_right_llm_distrusts,primary,content_model_confusion,4,57.14285714285714
model_right_llm_distrusts,secondary,explanation_framing,5,71.42857142857143
model_right_llm_distrusts,secondary,content_model_confusion,3,42.857142857142854
model_right_llm_distrusts,secondary,feature_interpretation_bias,4,57.14285714285714
model_right_llm_distrusts,secondary,meta_performance_overweighting,6,85.71428571428571
model_right_llm_distrusts,secondary,label_trust_mismatch,1,14.285714285714285
