metric,label,count,mean,median,std,min,max,p25,p75
focus_quality,false,30,0.8333333333333334,1.0,0.3790490217894517,0.0,1.0,1.0,1.0
focus_quality,half_true,29,0.7931034482758621,1.0,0.4122508203948854,0.0,1.0,1.0,1.0
focus_quality,mostly_false,28,0.7142857142857143,1.0,0.4600437062282362,0.0,1.0,0.0,1.0
focus_quality,mostly_true,26,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0,1.0,1.0
focus_quality,pof,29,0.9310344827586207,1.0,0.25788071477756375,0.0,1.0,1.0,1.0
focus_quality,true,30,0.8,1.0,0.4068381021724862,0.0,1.0,1.0,1.0
label_correlation,false,30,0.286,0.33,0.11409614820178092,0.0,0.33,0.33,0.33
label_correlation,half_true,29,0.818620689655172,0.83,0.0612794615984271,0.5,0.83,0.83,0.83
label_correlation,mostly_false,28,0.8064285714285712,0.83,0.08654753717163874,0.5,0.83,0.83,0.83
label_correlation,mostly_true,26,0.7457692307692307,0.67,0.1707201939296714,0.33,1.0,0.67,0.9175
label_correlation,pof,29,0.34241379310344827,0.33,0.1414379008715686,0.0,0.67,0.33,0.33
label_correlation,true,30,0.657666666666667,0.67,0.16447792710800782,0.33,1.0,0.67,0.67
layman_xai_truthfulness,false,30,0.5329999999999999,0.57,0.17060035978455815,0.14,1.0,0.43,0.57
layman_xai_truthfulness,half_true,29,0.6393103448275862,0.71,0.1683519068262065,0.29,1.0,0.57,0.71
layman_xai_truthfulness,mostly_false,28,0.6425000000000001,0.71,0.19661251608552668,0.14,0.86,0.5349999999999999,0.86
layman_xai_truthfulness,mostly_true,26,0.533076923076923,0.43,0.1720876342046512,0.29,0.86,0.43,0.71
layman_xai_truthfulness,pof,29,0.5413793103448274,0.57,0.13767778475045678,0.29,0.86,0.43,0.57
layman_xai_truthfulness,true,30,0.6189999999999999,0.57,0.18213958270021072,0.14,0.86,0.57,0.8225
short_assessment_truthfulness,false,30,0.6666666666666666,1.0,0.4794633014853841,0.0,1.0,0.0,1.0
short_assessment_truthfulness,half_true,29,0.6206896551724138,1.0,0.49380397379124,0.0,1.0,0.0,1.0
short_assessment_truthfulness,mostly_false,28,0.7857142857142857,1.0,0.4178554470186725,0.0,1.0,1.0,1.0
short_assessment_truthfulness,mostly_true,26,0.6153846153846154,1.0,0.4961389383568338,0.0,1.0,0.0,1.0
short_assessment_truthfulness,pof,29,0.6551724137931034,1.0,0.4837252813149745,0.0,1.0,0.0,1.0
short_assessment_truthfulness,true,30,0.7666666666666667,1.0,0.43018306715207627,0.0,1.0,1.0,1.0
technical_assessment_clarity,false,30,0.7333333333333333,1.0,0.4497764451088037,0.0,1.0,0.25,1.0
technical_assessment_clarity,half_true,29,0.6206896551724138,1.0,0.49380397379124,0.0,1.0,0.0,1.0
technical_assessment_clarity,mostly_false,28,0.6785714285714286,1.0,0.4755948656056709,0.0,1.0,0.0,1.0
technical_assessment_clarity,mostly_true,26,0.8461538461538461,1.0,0.36794648440311994,0.0,1.0,1.0,1.0
technical_assessment_clarity,pof,29,0.5517241379310345,1.0,0.5061201788784757,0.0,1.0,0.0,1.0
technical_assessment_clarity,true,30,0.6333333333333333,1.0,0.4901325178535609,0.0,1.0,0.0,1.0
technical_xai_clarity,false,30,0.4766666666666667,0.5,0.158969381856432,0.14,0.86,0.32499999999999996,0.57
technical_xai_clarity,half_true,29,0.4779310344827586,0.43,0.17869325893322704,0.14,0.86,0.43,0.57
technical_xai_clarity,mostly_false,28,0.449642857142857,0.43,0.13127528730953536,0.14,0.71,0.395,0.57
technical_xai_clarity,mostly_true,26,0.4511538461538462,0.43,0.11779055728119882,0.14,0.57,0.43,0.57
technical_xai_clarity,pof,29,0.5313793103448275,0.57,0.1598821918505496,0.14,0.86,0.43,0.57
technical_xai_clarity,true,30,0.45299999999999996,0.43,0.13874188388813083,0.14,0.71,0.32499999999999996,0.57
xai_description_truthfulness,false,30,0.4293333333333333,0.43,0.179076815213825,0.0,0.86,0.29,0.57
xai_description_truthfulness,half_true,29,0.3803448275862068,0.43,0.15349459642933663,0.0,0.57,0.29,0.43
xai_description_truthfulness,mostly_false,28,0.3382142857142855,0.29,0.14144894567583116,0.0,0.57,0.29,0.43
xai_description_truthfulness,mostly_true,26,0.34192307692307694,0.29,0.14045694659273297,0.14,0.57,0.29,0.43
xai_description_truthfulness,pof,29,0.45862068965517244,0.43,0.13249593357455577,0.14,0.71,0.43,0.57
xai_description_truthfulness,true,30,0.32533333333333325,0.29,0.158695834274539,0.0,0.71,0.29,0.43
