metric,label,mean,median,std
label_correlation,false,0.31966666666666665,0.33,0.13830210144595714
label_correlation,half_true,0.8299999999999996,0.83,3.387607712450221e-16
label_correlation,mostly_false,0.8079999999999996,0.83,0.08372368346181258
label_correlation,mostly_true,0.6913333333333337,0.67,0.1500743110947863
label_correlation,pof,0.297,0.33,0.10069243028769036
label_correlation,true,0.6356666666666669,0.67,0.13594327755591182
layman_xai_truthfulness,false,0.5666666666666667,0.57,0.18409767522429094
layman_xai_truthfulness,half_true,0.6463333333333332,0.71,0.148288705672027
layman_xai_truthfulness,mostly_false,0.5896666666666667,0.57,0.1525300045854932
layman_xai_truthfulness,mostly_true,0.5379999999999999,0.57,0.1602885329432628
layman_xai_truthfulness,pof,0.5333333333333333,0.57,0.18244192903843232
layman_xai_truthfulness,true,0.58,0.57,0.18593658540777672
short_assessment_truthfulness,false,0.7,1.0,0.466091599699399
short_assessment_truthfulness,half_true,0.7333333333333333,1.0,0.4497764451088037
short_assessment_truthfulness,mostly_false,0.7666666666666667,1.0,0.43018306715207627
short_assessment_truthfulness,mostly_true,0.6,1.0,0.4982728791224399
short_assessment_truthfulness,pof,0.7333333333333333,1.0,0.44977644510880366
short_assessment_truthfulness,true,0.6333333333333333,1.0,0.4901325178535609
technical_assessment_clarity,false,0.9333333333333333,1.0,0.2537081317024625
technical_assessment_clarity,half_true,0.6206896551724138,1.0,0.49380397379124
technical_assessment_clarity,mostly_false,0.7333333333333333,1.0,0.44977644510880366
technical_assessment_clarity,mostly_true,0.6333333333333333,1.0,0.4901325178535609
technical_assessment_clarity,pof,0.7333333333333333,1.0,0.44977644510880366
technical_assessment_clarity,true,0.7333333333333333,1.0,0.44977644510880366
technical_xai_clarity,false,0.6223333333333334,0.6399999999999999,0.14163292363525953
technical_xai_clarity,half_true,0.5566666666666665,0.57,0.15004213967469576
technical_xai_clarity,mostly_false,0.6183333333333333,0.57,0.14210446214288816
technical_xai_clarity,mostly_true,0.5846666666666668,0.57,0.15897805819831162
technical_xai_clarity,pof,0.6553333333333333,0.71,0.1326060625163569
technical_xai_clarity,true,0.6466666666666666,0.71,0.15324835226280367
xai_description_truthfulness,false,0.547,0.57,0.12863071977162188
xai_description_truthfulness,half_true,0.5003333333333333,0.43,0.1372257976483645
xai_description_truthfulness,mostly_false,0.5186666666666666,0.57,0.15960583632344322
xai_description_truthfulness,mostly_true,0.5283333333333333,0.57,0.15331021814773388
xai_description_truthfulness,pof,0.5606666666666666,0.57,0.1322206445702588
xai_description_truthfulness,true,0.6033333333333334,0.57,0.13727227746679058
