metric,label,mean,median,std
label_correlation,false,0.2653333333333333,0.33,0.22174439048743413
label_correlation,half_true,0.7419999999999997,0.83,0.14842622688590518
label_correlation,mostly_false,0.6869999999999998,0.83,0.16632228788793116
label_correlation,mostly_true,0.8123333333333335,0.835,0.2081889614704894
label_correlation,pof,0.19833333333333333,0.33,0.18673387542137357
label_correlation,true,0.7353333333333335,0.67,0.18329801122636388
layman_xai_truthfulness,false,0.5,0.57,0.15208890322031593
layman_xai_truthfulness,half_true,0.5426666666666666,0.57,0.18041968952366616
layman_xai_truthfulness,mostly_false,0.5233333333333333,0.57,0.1631655248689107
layman_xai_truthfulness,mostly_true,0.5623333333333332,0.57,0.22420254594717565
layman_xai_truthfulness,pof,0.5243333333333332,0.57,0.18350389140538556
layman_xai_truthfulness,true,0.5466666666666666,0.57,0.1741844708493196
short_assessment_truthfulness,false,0.6666666666666666,1.0,0.4794633014853841
short_assessment_truthfulness,half_true,0.8,1.0,0.4068381021724863
short_assessment_truthfulness,mostly_false,0.7333333333333333,1.0,0.44977644510880366
short_assessment_truthfulness,mostly_true,0.6666666666666666,1.0,0.47946330148538413
short_assessment_truthfulness,pof,0.6666666666666666,1.0,0.4794633014853841
short_assessment_truthfulness,true,0.6333333333333333,1.0,0.4901325178535609
technical_assessment_clarity,false,0.6333333333333333,1.0,0.4901325178535609
technical_assessment_clarity,half_true,0.7666666666666667,1.0,0.43018306715207627
technical_assessment_clarity,mostly_false,0.7333333333333333,1.0,0.4497764451088036
technical_assessment_clarity,mostly_true,0.6666666666666666,1.0,0.4794633014853841
technical_assessment_clarity,pof,0.8333333333333334,1.0,0.3790490217894517
technical_assessment_clarity,true,0.5333333333333333,1.0,0.5074162634049248
technical_xai_clarity,false,0.537,0.57,0.15106860738727632
technical_xai_clarity,half_true,0.48066666666666663,0.43,0.1868418717993139
technical_xai_clarity,mostly_false,0.37199999999999994,0.43,0.18570276584202863
technical_xai_clarity,mostly_true,0.4,0.43,0.19885881319722012
technical_xai_clarity,pof,0.48633333333333334,0.43,0.15064192147522257
technical_xai_clarity,true,0.44800000000000006,0.43,0.18054324154884757
xai_description_truthfulness,false,0.4483333333333332,0.43,0.13701455581706318
xai_description_truthfulness,half_true,0.4059999999999999,0.43,0.15473224927440707
xai_description_truthfulness,mostly_false,0.3203333333333332,0.29,0.1488225820214803
xai_description_truthfulness,mostly_true,0.381,0.43,0.2057676962683555
xai_description_truthfulness,pof,0.40599999999999986,0.43,0.1238631057479072
xai_description_truthfulness,true,0.4193333333333333,0.43,0.19303266354532408
