metric,label,count,mean,median,std,min,max,p25,p75
layman_xai_truthfulness,false,23,0.49043478260869555,0.43,0.17589971990441197,0.14,0.86,0.43,0.57
layman_xai_truthfulness,half_true,24,0.46416666666666667,0.43,0.152113134860542,0.14,0.71,0.43,0.57
layman_xai_truthfulness,mostly_false,22,0.41545454545454547,0.43,0.16989428849749263,0.14,0.71,0.32499999999999996,0.5349999999999999
layman_xai_truthfulness,mostly_true,24,0.47041666666666665,0.5,0.1579895199239402,0.14,0.71,0.29,0.57
layman_xai_truthfulness,pof,24,0.5179166666666667,0.5,0.19978203702745792,0.14,1.0,0.43,0.605
layman_xai_truthfulness,true,22,0.5254545454545454,0.57,0.16020009133602034,0.14,0.86,0.43,0.57
short_assessment_truthfulness,false,23,0.8695652173913043,1.0,0.34435022157509093,0.0,1.0,1.0,1.0
short_assessment_truthfulness,half_true,24,0.6666666666666666,1.0,0.48154341234307685,0.0,1.0,0.0,1.0
short_assessment_truthfulness,mostly_false,22,0.7272727272727273,1.0,0.4558423058385519,0.0,1.0,0.25,1.0
short_assessment_truthfulness,mostly_true,24,0.875,1.0,0.3378319623460881,0.0,1.0,1.0,1.0
short_assessment_truthfulness,pof,24,0.75,1.0,0.4423258684646914,0.0,1.0,0.75,1.0
short_assessment_truthfulness,true,22,0.7272727272727273,1.0,0.4558423058385518,0.0,1.0,0.25,1.0
technical_assessment_clarity,false,22,0.6818181818181818,1.0,0.4767312946227962,0.0,1.0,0.0,1.0
technical_assessment_clarity,half_true,24,0.7083333333333334,1.0,0.4643056214875365,0.0,1.0,0.0,1.0
technical_assessment_clarity,mostly_false,21,0.9047619047619048,1.0,0.30079260375911915,0.0,1.0,1.0,1.0
technical_assessment_clarity,mostly_true,24,0.625,1.0,0.49453535504684026,0.0,1.0,0.0,1.0
technical_assessment_clarity,pof,24,0.8333333333333334,1.0,0.38069349381344053,0.0,1.0,1.0,1.0
technical_assessment_clarity,true,22,0.45454545454545453,0.0,0.5096471914376255,0.0,1.0,0.0,1.0
technical_xai_clarity,false,23,0.6869565217391305,0.71,0.10262175839675859,0.43,0.86,0.6399999999999999,0.71
technical_xai_clarity,half_true,24,0.6895833333333333,0.71,0.1620380837325292,0.43,1.0,0.57,0.86
technical_xai_clarity,mostly_false,22,0.6295454545454546,0.57,0.16864946099125455,0.29,0.86,0.57,0.71
technical_xai_clarity,mostly_true,24,0.6349999999999999,0.6399999999999999,0.11824808114997966,0.43,0.86,0.57,0.71
technical_xai_clarity,pof,24,0.7179166666666665,0.71,0.10846675173473233,0.57,1.0,0.71,0.71
technical_xai_clarity,true,22,0.6609090909090909,0.71,0.12920670375167187,0.43,0.86,0.57,0.71
xai_description_truthfulness,false,23,0.7634782608695652,0.71,0.1417619225594343,0.43,1.0,0.71,0.86
xai_description_truthfulness,half_true,24,0.7612499999999999,0.71,0.16211409026013,0.29,1.0,0.71,0.86
xai_description_truthfulness,mostly_false,22,0.7190909090909091,0.71,0.16230216062021893,0.43,1.0,0.605,0.8225
xai_description_truthfulness,mostly_true,24,0.7258333333333332,0.71,0.14052438026646966,0.43,0.86,0.6749999999999999,0.86
xai_description_truthfulness,pof,24,0.77375,0.86,0.1345140206042866,0.57,1.0,0.71,0.86
xai_description_truthfulness,true,22,0.7395454545454547,0.71,0.18054091404726422,0.43,1.0,0.57,0.86
