metric,label,count,mean,median,std,min,max,p25,p75
layman_xai_truthfulness,false,30,0.5286666666666666,0.57,0.1399195170959642,0.29,0.86,0.43,0.57
layman_xai_truthfulness,half_true,30,0.6173333333333333,0.71,0.14510242121921388,0.29,0.86,0.57,0.71
layman_xai_truthfulness,mostly_false,30,0.571,0.57,0.19057716330246338,0.14,1.0,0.43,0.71
layman_xai_truthfulness,mostly_true,30,0.4853333333333332,0.57,0.1722414771092654,0.14,0.71,0.32499999999999996,0.57
layman_xai_truthfulness,pof,30,0.5083333333333334,0.57,0.1694429684000781,0.14,0.71,0.43,0.57
layman_xai_truthfulness,true,30,0.4853333333333333,0.43,0.17365708050406523,0.14,0.86,0.43,0.57
short_assessment_truthfulness,false,30,0.5333333333333333,1.0,0.5074162634049248,0.0,1.0,0.0,1.0
short_assessment_truthfulness,half_true,30,0.8,1.0,0.4068381021724863,0.0,1.0,1.0,1.0
short_assessment_truthfulness,mostly_false,30,0.8,1.0,0.4068381021724863,0.0,1.0,1.0,1.0
short_assessment_truthfulness,mostly_true,30,0.6333333333333333,1.0,0.4901325178535609,0.0,1.0,0.0,1.0
short_assessment_truthfulness,pof,30,0.6333333333333333,1.0,0.4901325178535609,0.0,1.0,0.0,1.0
short_assessment_truthfulness,true,30,0.5333333333333333,1.0,0.507416263404925,0.0,1.0,0.0,1.0
technical_assessment_clarity,false,30,0.7333333333333333,1.0,0.4497764451088037,0.0,1.0,0.25,1.0
technical_assessment_clarity,half_true,29,0.7931034482758621,1.0,0.4122508203948854,0.0,1.0,1.0,1.0
technical_assessment_clarity,mostly_false,30,0.6666666666666666,1.0,0.4794633014853841,0.0,1.0,0.0,1.0
technical_assessment_clarity,mostly_true,30,0.7333333333333333,1.0,0.44977644510880366,0.0,1.0,0.25,1.0
technical_assessment_clarity,pof,30,0.7333333333333333,1.0,0.4497764451088037,0.0,1.0,0.25,1.0
technical_assessment_clarity,true,30,0.6666666666666666,1.0,0.4794633014853841,0.0,1.0,0.0,1.0
technical_xai_clarity,false,30,0.4856666666666666,0.43,0.1690273051464096,0.14,0.86,0.43,0.57
technical_xai_clarity,half_true,30,0.4339999999999999,0.43,0.1882331642881536,0.0,0.86,0.29,0.57
technical_xai_clarity,mostly_false,30,0.44333333333333336,0.43,0.15448096263323827,0.14,0.71,0.29,0.57
technical_xai_clarity,mostly_true,30,0.4053333333333333,0.43,0.1789381194008494,0.0,0.71,0.29,0.57
technical_xai_clarity,pof,30,0.5326666666666665,0.57,0.13723710499899705,0.29,0.71,0.43,0.6749999999999999
technical_xai_clarity,true,30,0.4386666666666666,0.43,0.15699183667187663,0.14,0.71,0.29,0.57
xai_description_truthfulness,false,30,0.4113333333333332,0.43,0.14284627216439486,0.14,0.86,0.29,0.43
xai_description_truthfulness,half_true,30,0.3503333333333332,0.29,0.08845350749690906,0.14,0.57,0.29,0.43
xai_description_truthfulness,mostly_false,30,0.35799999999999993,0.43,0.18968940129990722,0.0,0.71,0.29,0.43
xai_description_truthfulness,mostly_true,30,0.353,0.36,0.19073632277986854,0.0,0.86,0.1775,0.43
xai_description_truthfulness,pof,30,0.4439999999999999,0.43,0.12386310574790718,0.29,0.71,0.29,0.57
xai_description_truthfulness,true,30,0.4053333333333332,0.43,0.17093522332951927,0.14,0.71,0.29,0.57
