metric,label,mean,median,std
label_correlation,false,0.2520689655172414,0.33,0.2470306416844568
label_correlation,half_true,0.7731034482758619,0.83,0.12686053783235074
label_correlation,mostly_false,0.6979999999999998,0.83,0.1644300501104051
label_correlation,mostly_true,0.6803448275862071,0.67,0.2088656909291007
label_correlation,pof,0.19379310344827586,0.33,0.18834644736881342
label_correlation,true,0.6928571428571431,0.67,0.1554171720064979
layman_xai_truthfulness,false,0.483103448275862,0.43,0.16213097545494023
layman_xai_truthfulness,half_true,0.4437931034482759,0.43,0.15267645045051145
layman_xai_truthfulness,mostly_false,0.4906666666666666,0.5,0.1456006189199931
layman_xai_truthfulness,mostly_true,0.44413793103448274,0.43,0.18655748331621752
layman_xai_truthfulness,pof,0.4827586206896552,0.43,0.15851760947073126
layman_xai_truthfulness,true,0.46392857142857136,0.43,0.21034960820490647
short_assessment_truthfulness,false,0.8620689655172413,1.0,0.35093120317179827
short_assessment_truthfulness,half_true,0.9310344827586207,1.0,0.25788071477756375
short_assessment_truthfulness,mostly_false,0.8333333333333334,1.0,0.3790490217894517
short_assessment_truthfulness,mostly_true,0.7931034482758621,1.0,0.4122508203948854
short_assessment_truthfulness,pof,0.7931034482758621,1.0,0.4122508203948854
short_assessment_truthfulness,true,0.8571428571428571,1.0,0.3563483225498992
technical_assessment_clarity,false,0.8620689655172413,1.0,0.35093120317179827
technical_assessment_clarity,half_true,0.8620689655172413,1.0,0.35093120317179827
technical_assessment_clarity,mostly_false,0.8,1.0,0.4068381021724863
technical_assessment_clarity,mostly_true,0.8620689655172413,1.0,0.35093120317179827
technical_assessment_clarity,pof,0.8620689655172413,1.0,0.3509312031717982
technical_assessment_clarity,true,0.6428571428571429,1.0,0.48795003647426666
technical_xai_clarity,false,0.6886206896551724,0.71,0.16689868907152355
technical_xai_clarity,half_true,0.6841379310344828,0.71,0.1641322907504647
technical_xai_clarity,mostly_false,0.651,0.71,0.15282060702351133
technical_xai_clarity,mostly_true,0.6493103448275861,0.71,0.16854272528443767
technical_xai_clarity,pof,0.723103448275862,0.71,0.16690680565333163
technical_xai_clarity,true,0.7239285714285714,0.71,0.1244942148206475
xai_description_truthfulness,false,0.7527586206896552,0.71,0.14369850759052386
xai_description_truthfulness,half_true,0.743448275862069,0.71,0.15095590326007144
xai_description_truthfulness,mostly_false,0.7326666666666666,0.71,0.16292442363283643
xai_description_truthfulness,mostly_true,0.7686206896551724,0.86,0.16030604965705522
xai_description_truthfulness,pof,0.7375862068965517,0.71,0.14438676167091224
xai_description_truthfulness,true,0.7949999999999999,0.7849999999999999,0.12145720172905292
